"hour","meandist","mindist","maxdist","sddist","meanspeed","minspeed","maxspeed","sdspeed"
2021-05-18 13:00:00,34.5248613905816,6.96125368680209,75.9283891875024,24.0471146146536,4.78561633232143,0.960172922317529,10.4488608973627,3.31123206692973
2021-05-18 14:00:00,12.9557769347527,3.99468744318592,21.1937098496139,6.40675780293996,1.78084338832854,0.55099137147392,2.93677272742918,0.893248281033468
2021-05-18 15:00:00,15.2255511904002,4.0227384578528,29.8556382190746,8.7661260445791,2.00681430098544,0.553587861172403,3.88576636256937,1.14620207567394
2021-05-18 16:00:00,8.79025907017059,2.52056142373874,21.7955207011958,6.10674838847303,1.18268154103127,0.343712921418919,2.96537696614909,0.82958347713586
2021-05-18 17:00:00,15.3219056617858,3.05247786172376,22.5672520829977,7.20632327964881,2.0038433487803,0.415303110438607,3.0427755617525,0.97932345130017
2021-05-18 18:00:00,17.7128038133557,10.6695685205368,32.5382969168927,10.0798701963965,1.06643933233564,0.57621432154114,2.04858112803102,0.667648083807151
2021-05-18 19:00:00,9.31243629031501,4.54849946381894,18.2190701129187,7.71962300045645,0.45857459201258,0.213711799396348,0.941554011003551,0.418286046942019
2021-05-18 20:00:00,37.5871038091828,3.60134972733488,123.395963933993,57.6778786819128,2.42807916172197,0.200777624694771,6.66404845728136,3.04662915488818
2021-05-18 21:00:00,25.945129248908,7.0824125797872,53.1593877049044,21.0300530256507,2.63056234135762,0.658234131052098,4.75832933886771,1.93601460911945
2021-05-18 22:00:00,28.6976865618895,14.5195748574881,64.4464209308424,18.4266165224613,3.07438551946426,1.99353430537594,5.8892329479839,1.3161623852161
2021-05-18 23:00:00,18.185333471468,5.06925798281532,28.1719672042375,6.52532340363732,2.47678923658225,0.664094932246549,3.75626229389834,0.875903677112197
2021-05-19 00:00:00,23.7132996444904,19.1537808747323,31.925826371182,7.12668484576877,1.54980862771309,0.908479725283747,2.10791156086412,0.604031541827627
2021-05-19 01:00:00,26.9413450766277,5.05550900052185,47.913696678067,17.107668979768,2.42817322502376,0.668128942800245,5.37173441908971,1.71590561463519
2021-05-19 02:00:00,6.55115589859044,6.55115589859044,6.55115589859044,NA,0.135541156522561,0.135541156522561,0.135541156522561,NA
2021-05-19 03:00:00,3.00737962454591,1.35300655955531,4.6617526895365,2.33963682573445,0.0990460704476476,0.035188727166588,0.162903413728707,0.0903079209251889
2021-05-19 04:00:00,4.68381734791974,1.22451439931905,6.61612244252437,2.25914612162265,0.419333462237706,0.170862474323588,0.859236680847321,0.278972340391845
2021-05-19 05:00:00,26.4633986870562,6.17643079664713,45.4850494281111,12.3769094444089,3.22070296062531,0.876089474701721,6.34675108299224,1.8558121559817
2021-05-19 06:00:00,14.3742303531011,4.98008100323857,18.9902338172104,5.94830047290912,1.34309234012991,0.381128648207033,1.98158961570892,0.591576083409785
2021-05-19 07:00:00,49.7690390099307,17.2500005540262,66.8487816934055,28.1742553244879,2.87266017617356,1.91726907342463,4.43594114165716,1.36494498450867
2021-05-19 08:00:00,10.1673570567195,5.94419814056982,14.3905159728693,5.9724486152758,0.366022689538018,0.170646836571382,0.561398542504653,0.276303181025627
2021-05-19 09:00:00,13.3887735081153,8.89405046424843,18.2691084469845,4.18560407856702,1.32103040988631,0.653624374411175,2.37986498867098,0.703417974326378
2021-05-19 10:00:00,15.8074819074269,2.009005528042,38.0678077276382,12.6553283816035,1.40067196130472,0.282295858741264,2.27226038714276,0.809723941688226
2021-05-19 11:00:00,11.036031252219,3.86647474402801,21.4044195239683,6.85610419444112,1.40138126434294,0.363049271739719,2.9321122635573,0.987096796850746
2021-05-19 12:00:00,14.8194250137881,3.94328730233642,29.5330590580409,8.76768829958137,1.86407752673086,0.546413944896502,3.27616475354014,1.04463146534957
2021-05-19 13:00:00,33.8734946526923,13.4704600620493,92.6133751174466,28.2036452767867,4.28940938133304,1.76855055519247,12.8332621409857,3.88244962524105
2021-05-19 14:00:00,20.0862703158718,3.94328227186922,44.2765900110135,14.4094739674998,2.39936566766745,0.538945185221306,5.66438251740044,1.81748769743536
2021-05-19 15:00:00,14.5091262028104,4.71328183645742,32.0697090245065,10.5758274365467,1.32337763223162,0.600418068338525,2.60997437959141,0.768294455789622
2021-05-19 16:00:00,25.1417960510504,8.48767740445714,58.576523512945,23.2343116941567,1.58239395797231,0.578048404389817,3.5145914107767,1.36546378873255
2021-05-19 17:00:00,15.4038124072239,2.00899643887554,42.2844779861926,13.5712546330287,2.09401958081658,0.272714448716137,5.73997438726596,1.84254264752151
2021-05-19 18:00:00,19.7978150344387,7.76041164522271,38.9257670288292,11.4713792037731,2.13370110515077,0.691864336869781,3.14866148107251,0.976694427925603
2021-05-19 19:00:00,31.1740085328655,1.84845615796092,77.3815814903613,28.7192561858212,3.9514494017992,0.249230043770011,10.4334716616218,3.92622435023834
2021-05-19 20:00:00,39.983890276669,3.46054761840373,79.3248626117068,32.1721212187859,4.93538268262598,0.465544522655211,10.6002043579118,4.43169488157008
2021-05-19 21:00:00,31.5862247384822,9.39552940786965,51.2316959632424,18.1923353674762,1.93946483902844,0.499319543376598,2.91365095525549,1.07220936610199
2021-05-19 22:00:00,51.5540995464286,45.273377914913,58.9596210959772,6.91210490693763,2.82852246834985,2.30203616516507,3.61715466846486,0.69564683776208
2021-05-19 23:00:00,22.3978083737842,9.06475224480442,46.2334292700683,13.8478390287888,2.19792021771101,1.23891830225117,3.96882687423016,1.11113165328685
2021-05-20 00:00:00,23.3422541491175,11.4740116377151,43.1750971313574,12.0217234188182,2.20079234499457,1.25083741290475,3.64755599990236,0.852087140651679
